filename,size_bytes,sha256,category,description,appraised_usd,range_low_usd,range_high_usd,collateral_role,liquidity_role
61694407-18F8-45C8-B903-3E876F7653DC.jpeg,444145,a55f8f092f9e3833180bf387bac4edf6d0a6ec6becec14e02e812677444356cc,source_asset,Product/UI screenshot evidence; dimensions 1290x2796; visual proof of appraisal dashboard direction.,112.5,62.5,187.5,supporting demo evidence / marketing artifact / authorship evidence,attention and due-diligence surface; helps convert IP into investable narrative
A375C5D2-92E5-4383-A16A-DCB9CFBBF8AB.jpeg,408477,8f9ca662bb4117cf53e8a8b0232725d0e38ae071e83f96313c53ee7f102d7c1a,source_asset,Product/UI screenshot evidence; dimensions 1290x2796; visual proof of appraisal dashboard direction.,112.5,62.5,187.5,supporting demo evidence / marketing artifact / authorship evidence,attention and due-diligence surface; helps convert IP into investable narrative
4A4D3A87-6A8D-4DC0-A4A4-B43C0B944CC8.jpeg,294822,0ca45c818fa6feda41e9bf650cb985b151a5d635399d1c46230de7700cc67e59,source_asset,Product/UI screenshot evidence; dimensions 1290x2796; visual proof of appraisal dashboard direction.,112.5,62.5,187.5,supporting demo evidence / marketing artifact / authorship evidence,attention and due-diligence surface; helps convert IP into investable narrative
5A8549FE-809C-464E-9F88-331B6DEB4699.jpeg,280965,98d5c5d28fc40d2db11d38f9b19a3eb5860d208aa22d80d879686197ed3305fc,source_asset,Product/UI screenshot evidence; dimensions 1290x2796; visual proof of appraisal dashboard direction.,112.5,62.5,187.5,supporting demo evidence / marketing artifact / authorship evidence,attention and due-diligence surface; helps convert IP into investable narrative
3384A50E-01B6-48B6-A395-F9AD5D7F4EA1.jpeg,290454,a2a4af308c3dfaf7be5d2b884ac315b146710796d5199e254444f8f9ec95d3e5,source_asset,Product/UI screenshot evidence; dimensions 1290x2796; visual proof of appraisal dashboard direction.,112.5,62.5,187.5,supporting demo evidence / marketing artifact / authorship evidence,attention and due-diligence surface; helps convert IP into investable narrative
2F962C6C-2B8F-4851-9E18-B2C303D9BD77.jpeg,247247,910b3489164961d68236028b5bdcbf83a4c5451bf6314e0344d0aa2d9271eb15,source_asset,Product/UI screenshot evidence; dimensions 1290x2796; visual proof of appraisal dashboard direction.,112.5,62.5,187.5,supporting demo evidence / marketing artifact / authorship evidence,attention and due-diligence surface; helps convert IP into investable narrative
218666DA-BDE4-45C5-BE00-56DE8C4F2A8C.jpeg,282566,916f4ed532062999acd7be2620123f486c75a0d09a334c7c1f63fdceeefa9c74,source_asset,Product/UI screenshot evidence; dimensions 1290x2796; visual proof of appraisal dashboard direction.,112.5,62.5,187.5,supporting demo evidence / marketing artifact / authorship evidence,attention and due-diligence surface; helps convert IP into investable narrative
659E23EB-6381-4388-9007-9AB6CA430B65.jpeg,275900,038e3f02a96bbb73bf3740139348134cab5d18cdc138aa6a4be564331b9fd2ff,source_asset,Product/UI screenshot evidence; dimensions 1290x2796; visual proof of appraisal dashboard direction.,112.5,62.5,187.5,supporting demo evidence / marketing artifact / authorship evidence,attention and due-diligence surface; helps convert IP into investable narrative
Pasted text(26).txt,9261,6f45f03d84ef675839dc60fd0f92adc2356b508f662a595bfe81e84c32185c92,source_asset,"Protocol consolidation memorandum: Overmanifold/LLM-SMS-OS, liquidity manifold, endpoint mesh, proof-of-profit, inverse mining, non-zero participation.",1100.0,700.0,1800.0,core written IP / protocol design evidence,"narrative and specification layer for licensing, grants, investor review"
overmanifold_full_prompt_chain.llm,10181,05c9dc892a9b462c68a8122b95885081927ead65bbd795d9e9802a273fdcc06f,source_asset,Native .llm provenance ledger / prompt-state chain artifact.,700.0,300.0,1200.0,format/IP artifact; chainable provenance record,machine-readable asset receipt / potential tokenization input
overmanifold_at_delimited_ledger.llm,2900,b4880791f2f212d61ea515f093cf91f81268f923f99c399e4d3af66ddf1cadba,source_asset,Native .llm provenance ledger / prompt-state chain artifact.,400.0,150.0,800.0,format/IP artifact; chainable provenance record,machine-readable asset receipt / potential tokenization input
chatgpt-20260512T192013Z-3-001.zip,153964217,56de3670af43b2365b51352c05d1915a994b190353e7dc7cad2d81437631730c,source_asset,Large exported corpus/archive of underlying ChatGPT R&D material.,3750.0,2000.0,6500.0,"raw corpus supporting authorship, breadth, and prior art timeline","due-diligence source; can be mined into docs, code, specs, repo issues"
overmanifold_merkle_report(1).pdf,4017,06eb3f24a0719e5d513109a6d4f8259a3d360e0bab9f72fad1b1b3546185c18c,source_asset,Formal PDF report/specification artifact.,487.5,250.0,750.0,formal memorandum / specification / proof report,investor/lender-readable underwriting surface
gptsmsovermanifold.pdf,197903,4d80d5e45c17c93df17cde3a0bed86dc70b3a3580d587da650c255a9f7d6df78,source_asset,Formal PDF report/specification artifact.,1800.0,1000.0,3000.0,formal memorandum / specification / proof report,investor/lender-readable underwriting surface
gptovermanifold.pdf,889166,4d437a83034c898ae9de703f19ad2c56ee6869b6d697e81e31877c3f80eed15b,source_asset,Formal PDF report/specification artifact.,3900.0,2500.0,5500.0,formal memorandum / specification / proof report,investor/lender-readable underwriting surface
